0	0	515.569	0.0597845	
0	1	513.735	0.0727204	
0	2	515.888	0.0322197	
0	3	506.772	0.026774	
0	4	515.166	0.106461	
0	5	508.975	0.0406287	
0	6	503.322	0.0675728	
0	7	507.642	0.0310121	
0	8	512.652	0.030929	
0	9	510.058	0.0487452	
0	10	511.886	0.0507956	
0	11	504.635	0.0553154	
0	12	513.203	0.044754	
0	13	514.528	0.0470118	
0	14	513.548	0.0531915	
0	15	516.393	0.0549758	
1	0	511.596	0.026394	
1	1	512.697	0.0446043	
1	2	510.558	0.0251949	
1	3	512.5	0.0321353	
1	4	512.251	0.0270627	
1	5	508.177	0.0344623	
1	6	514.296	0.0294708	
1	7	511.84	0.0637678	
1	8	512.288	0.0225406	
1	9	511.213	0.0350952	
1	10	513.723	0.0577536	
1	11	509.779	0.0321476	
1	12	512.271	0.0577825	
1	13	511.509	0.0509225	
1	14	513.915	0.0387443	
1	15	510.47	0.107047	
2	0	511.048	0.0244876	
2	1	515.052	0.0577657	
2	2	510.477	0.0296533	
2	3	512.197	0.0300071	
2	4	510.351	0.0230979	
2	5	509.135	0.0301581	
2	6	511.065	0.0268761	
2	7	505.063	0.033624	
2	8	511.5	0.0296056	
2	9	515.625	0.038246	
2	10	510.777	0.0289768	
2	11	512.72	0.0262703	
2	12	512.696	0.0317229	
2	13	510.2	0.0531989	
2	14	515.677	0.0387406	
2	15	513.872	0.0548348	
3	0	509.286	0.0238293	
3	1	508.754	0.0231833	
3	2	511.501	0.0281907	
3	3	512.857	0.0238851	
3	4	518.063	0.0668658	
3	5	511.709	0.0283742	
3	6	511.917	0.0249627	
3	7	513.22	0.041844	
3	8	510.576	0.0297929	
3	9	515	0.037914	
3	10	512.735	0.0420367	
3	11	511.3	0.0345253	
3	12	511.047	0.0311688	
3	13	510.794	0.0431604	
3	14	512.905	0.0430531	
3	15	513.69	0.0593387	
4	0	512.29	0.0224853	
4	1	510.782	0.0230441	
4	2	511.655	0.0236842	
4	3	510.712	0.0225839	
4	4	513.095	0.0374802	
4	5	512.784	0.0362272	
4	6	511.249	0.0252692	
4	7	511.46	0.021026	
4	8	510.949	0.0289391	
4	9	513.413	0.0326035	
4	10	514.325	0.0351037	
4	11	509.868	0.0409868	
4	12	509.889	0.0323712	
4	13	512.944	0.0310951	
4	14	512.014	0.0461884	
4	15	517.002	0.0551401	
5	0	516.267	0.0519612	
5	1	509.817	0.0249228	
5	2	510.421	0.0207216	
5	3	510.62	0.0222249	
5	4	511.618	0.0236312	
5	5	511.857	0.023029	
5	6	511.403	0.0250314	
5	7	510.257	0.0231107	
5	8	509.23	0.0228597	
5	9	511.281	0.0423097	
5	10	515.119	0.046937	
5	11	516.52	0.0430359	
5	12	513.364	0.0364394	
5	13	512.69	0.0304037	
5	14	518.491	0.048728	
5	15	510.277	0.041335	
6	0	512.277	0.0282286	
6	1	511.558	0.0241197	
6	2	513.491	0.0244039	
6	3	510.793	0.0330708	
6	4	510.931	0.0313702	
6	5	512.025	0.0226664	
6	6	509.267	0.0242322	
6	7	507.439	0.0400001	
6	8	511.762	0.0295892	
6	9	513	0.0409353	
6	10	509.688	0.0424899	
6	11	512.109	0.0499664	
6	12	509.235	0.046864	
6	13	511.602	0.0322772	
6	14	511.691	0.0472494	
6	15	514.07	0.0499408	
7	0	509.066	0.0292047	
7	1	511.185	0.0215234	
7	2	512.549	0.0243647	
7	3	509.586	0.0298535	
7	4	511.264	0.0216462	
7	5	511.135	0.0214282	
7	6	512.234	0.0232577	
7	7	510.702	0.0239364	
7	8	513.771	0.0343382	
7	9	515.205	0.0309715	
7	10	514.23	0.0365588	
7	11	513.438	0.0352102	
7	12	510.822	0.0447539	
7	13	512.588	0.0350771	
7	14	514.07	0.0380233	
7	15	513.875	0.0463022	
8	0	511.506	0.0242594	
8	1	511.673	0.0202123	
8	2	513.849	0.0234322	
8	3	511.798	0.0252865	
8	4	513.63	0.0313947	
8	5	511.242	0.0343921	
8	6	511.411	0.0281764	
8	7	513.505	0.0313117	
8	8	515.301	0.0342641	
8	9	514.339	0.0393743	
8	10	516.204	0.0407876	
8	11	510.976	0.0386014	
8	12	514.874	0.042858	
8	13	511.363	0.0340556	
8	14	510.817	0.0436803	
8	15	510.976	0.0499802	
9	0	512.282	0.0211891	
9	1	509.405	0.0218696	
9	2	512.866	0.0227935	
9	3	511.238	0.0250836	
9	4	513.151	0.0277417	
9	5	516.82	0.0401982	
9	6	517.439	0.0376986	
9	7	512.543	0.0307596	
9	8	514.261	0.0396607	
9	9	513.605	0.0411133	
9	10	516.048	0.0484593	
9	11	510.726	0.0395109	
9	12	513.903	0.0428669	
9	13	513.869	0.0405125	
9	14	504.463	0.0445479	
9	15	514.199	0.0492665	
10	0	509.301	0.0249632	
10	1	512.412	0.0320868	
10	2	511.527	0.0216403	
10	3	512.979	0.0234809	
10	4	511.27	0.0227229	
10	5	511.033	0.0210143	
10	6	439.362	0.0560222	
10	7	513.428	0.0434189	
10	8	513.462	0.0366242	
10	9	514.246	0.0475565	
10	10	512.379	0.0312717	
10	11	511.522	0.0340175	
10	12	514.83	0.0389246	
10	13	510.902	0.043159	
10	14	513.262	0.035818	
10	15	513.028	0.0339184	
11	0	513.075	0.0278221	
11	1	511.813	0.0196705	
11	2	512.026	0.0206709	
11	3	509.449	0.0196144	
11	4	508.817	0.0264492	
11	5	513.868	0.0223126	
11	6	511.037	0.0229144	
11	7	513.687	0.0258229	
11	8	514.38	0.0296361	
11	9	512.821	0.0387861	
11	10	515.825	0.0391486	
11	11	513.035	0.0287287	
11	12	514.112	0.0419526	
11	13	514.769	0.0332977	
11	14	513.251	0.0339454	
11	15	518.825	0.0544126	
12	0	509.495	0.0240695	
12	1	512.417	0.0193889	
12	2	511.316	0.0218509	
12	3	507.14	0.0180132	
12	4	512.345	0.024104	
12	5	510.142	0.0284791	
12	6	516.409	0.0394897	
12	7	515.409	0.0384344	
12	8	510.057	0.0401975	
12	9	512.402	0.0347314	
12	10	514.067	0.0358118	
12	11	510.978	0.0402649	
12	12	514.326	0.0343789	
12	13	511.249	0.0381456	
12	14	511.181	0.0367326	
12	15	514.112	0.0392379	
13	0	510.964	0.0255722	
13	1	508.525	0.0300878	
13	2	511.644	0.0188714	
13	3	510.248	0.0226677	
13	4	511.267	0.0194299	
13	5	510.75	0.0228417	
13	6	512.351	0.0255294	
13	7	510.105	0.032109	
13	8	513.171	0.029377	
13	9	512.905	0.0305006	
13	10	512.457	0.0363348	
13	11	508.815	0.0304467	
13	12	510.993	0.025665	
13	13	511.526	0.0259869	
13	14	512.228	0.0294231	
13	15	512.921	0.0420874	
14	0	510.486	0.0308739	
14	1	0 0
14	2	512.581	0.0286728	
14	3	510.653	0.02314	
14	4	511.572	0.0213005	
14	5	511.322	0.0235245	
14	6	502.827	0.075058	
14	7	523.167	0.108373	
14	8	498.067	0.033139	
14	9	510.918	0.0292139	
14	10	512.426	0.0370445	
14	11	512.843	0.0257965	
14	12	514.004	0.0348284	
14	13	513.929	0.0406024	
14	14	512.078	0.0372257	
14	15	511.622	0.0444002	
15	0	508.659	0.0280569	
15	1	512.8	0.0279981	
15	2	509.983	0.022848	
15	3	509.509	0.0210966	
15	4	511.161	0.0218986	
15	5	510.597	0.0238069	
15	6	512.302	0.0340277	
15	7	510.794	0.0435013	
15	8	513.159	0.0486477	
15	9	511.187	0.0355073	
15	10	512.15	0.0389336	
15	11	512.7	0.038169	
15	12	514.621	0.0338195	
15	13	511.797	0.0362194	
