100	195.36
102	202.26
104	191.06
106	187.24
108	179.79
10	72.471
110	180.84
112	186.32
114	178.64
116	169.42
118	169.34
120	164.3
12	75.201
14	81.161
16	87.837
18	96.538
1	42.257
20	102.81
22	112.48
24	120.97
26	127.51
28	135.71
30	143.83
32	151.9
34	159.47
36	161.99
38	173.38
3	58.324
40	184.12
42	180.66
44	200.22
46	200.08
48	207.17
50	212.93
52	219.87
54	230.5
56	229.91
58	233.1
5	64.207
60	240.69
62	243.5
64	246.34
66	250.48
68	249.17
70	248.94
72	247.9
74	246.96
76	257.65
78	249.1
7	65.524
80	246.82
82	245.41
84	230.41
86	230.39
88	220.87
90	222.78
92	220.75
94	219.5
96	206.66
98	204.34
